# timestamp: 1601908524.9188445
# datetime: 2020-10-05T10:35:24
# name: 004-129Xe27+_to_50+-0-16.500
# note: Full acceleration 129Xe50+ to 16.5 MeV from MEBT to FS1B
# filepath: /user/zhangt/test_phantasy/phantasy-apps/phantasy_apps/settings_manager/contrib/settings_support_cavity_tuning/129Xe27_50/004-129Xe27+_to_50+-0-16.500.csv
# user: zhangt
# ion_name: Xe
# ion_number: 54
# ion_mass: 129
# ion_charge: 50
# machine: FRIB
# segment: LINAC
# tags: LS1-phasing
# app: Settings Manager
# version: 4.1
Name,Field,Type,Pos,Setpoint,Readback,Last Setpoint,Tolerance,Writable
FE_MEBT:Q_D1057,I,QUAD,105.69535900000001,71.403647539397,137.412,137.47359195655363,0.1,True
FE_MEBT:Q_D1060,I,QUAD,105.895359,100.898086378694,152.384,152.49811253402947,0.1,True
FE_MEBT:Q_D1062,I,QUAD,106.145359,75.2854241089922,147.669,147.73377825818693,0.1,True
FE_MEBT:Q_D1074,I,QUAD,107.34956600000001,75.4623178519747,114.473,114.47251633662516,0.1,True
FE_MEBT:Q_D1076,I,QUAD,107.549566,94.0161592694147,141.954,141.91559323905798,0.1,True
FE_MEBT:Q_D1078,I,QUAD,107.799566,87.5060760376159,132.971,133.02987477752367,0.1,True
FE_MEBT:Q_D1095,I,QUAD,109.491838,66.9231140306132,129.596,129.6402006375455,0.1,True
FE_MEBT:Q_D1098,I,QUAD,109.69183799999999,89.7373815026025,132.702,132.86815608027123,0.1,True
FE_MEBT:Q_D1100,I,QUAD,109.941838,74.8290268882045,101.914,102.05555631229053,0.1,True
FE_MEBT:Q_D1113,I,QUAD,111.20677500000001,18.595260855251,115.032,115.15644494774978,0.1,True
FE_MEBT:Q_D1115,I,QUAD,111.406775,76.9963055944802,117.142,117.21947662560946,0.1,True
FE_MEBT:Q_D1117,I,QUAD,111.65677500000001,85.6136136570071,81.807,81.99238434683089,0.1,True
LS1_CA01:SOL1_D1132,I,SOL,113.00086,35.7929282110169,0.005499925464391708,1.0,0.1,True
LS1_CA01:SOL2_D1146,I,SOL,114.47609899999999,38.1141421606327,0.003505498170852661,10.0,0.1,True
LS1_CA02:SOL1_D1165,I,SOL,116.373955,37.7285891402018,0.0029556453227996826,5.0,0.1,True
LS1_CA02:SOL2_D1180,I,SOL,117.849194,41.3108483195121,0.00398736447095871,5.0,0.1,True
LS1_CA03:SOL1_D1199,I,SOL,119.74705,39.8301549463118,0.009208731353282928,5.0,0.1,True
LS1_CA03:SOL2_D1214,I,SOL,121.222289,39.6815149468069,0.006870087236166,5.0,0.1,True
LS1_CB01:SOL1_D1235,I,SOL,123.266203,33.6168206150313,0.010929256677627563,5.0,0.1,True
LS1_CB01:SOL2_D1255,I,SOL,125.263929,34.3619348250599,0.004946626722812653,5.0,0.1,True
LS1_CB01:SOL3_D1275,I,SOL,127.261655,38.0155235233552,0.006871018558740616,5.0,0.1,True
LS1_CB02:SOL1_D1299,I,SOL,129.638628,40.3470313508449,0.008939206600189209,5.0,0.1,True
LS1_CB02:SOL2_D1319,I,SOL,131.636354,39.0725829919773,0.0050854869186878204,5.0,0.1,True
LS1_CB02:SOL3_D1339,I,SOL,133.63408,44.8666358358614,0.006187800318002701,5.0,0.1,True
LS1_CB03:SOL1_D1363,I,SOL,136.011052,45.4717100987769,-0.00048102810978889465,5.0,0.1,True
LS1_CB03:SOL2_D1383,I,SOL,138.008778,45.7147114074572,0.00034365803003311157,5.0,0.1,True
LS1_CB03:SOL3_D1403,I,SOL,140.006504,49.0981980268602,0.004262197762727737,5.0,0.1,True
LS1_CB04:SOL1_D1426,I,SOL,142.383477,51.1291782994712,0.0032315030694007874,10.0,0.1,True
LS1_CB04:SOL2_D1446,I,SOL,144.381203,45.6587141911477,0.01003555953502655,10.0,0.1,True
LS1_CB04:SOL3_D1466,I,SOL,146.378929,54.1389420648119,0.005293451249599457,10.0,0.1,True
LS1_CB05:SOL1_D1490,I,SOL,148.755901,51.0780367651466,0.0063273124396800995,5.0,0.1,True
LS1_CB05:SOL2_D1510,I,SOL,150.753627,52.2269579204957,0.0033013522624969482,5.0,0.1,True
LS1_CB05:SOL3_D1530,I,SOL,152.751353,52.8042500061675,0.003987643867731094,5.0,0.1,True
LS1_CB06:SOL1_D1554,I,SOL,155.128326,55.806474501933,0.013272091746330261,5.0,0.1,True
LS1_CB06:SOL2_D1574,I,SOL,157.126052,47.6913764744895,0.0024761073291301727,5.0,0.1,True
LS1_CB06:SOL3_D1594,I,SOL,159.123778,57.4974865787815,0.0044005922973155975,5.0,0.1,True
LS1_CB07:SOL1_D1618,I,SOL,161.50075,53.1100559839831,0.002542603760957718,5.0,0.1,True
LS1_CB07:SOL2_D1637,I,SOL,163.498476,53.2690299377967,0.00515347346663475,5.0,0.1,True
LS1_CB07:SOL3_D1657,I,SOL,165.496202,54.0917305421371,0.0019245781004428864,5.0,0.1,True
LS1_CB08:SOL1_D1681,I,SOL,167.873175,57.2114108476456,0.0018561258912086487,5.0,0.1,True
LS1_CB08:SOL2_D1701,I,SOL,169.870901,47.9932212995171,0.014094170182943344,5.0,0.1,True
LS1_CB08:SOL3_D1721,I,SOL,171.868627,57.740914521056,0.005430262535810471,5.0,0.1,True
LS1_CB09:SOL1_D1745,I,SOL,174.245599,53.909844495841,0.003712717443704605,5.0,0.1,True
LS1_CB09:SOL2_D1765,I,SOL,176.243325,51.8184679318756,0.012709200382232666,5.0,0.1,True
LS1_CB09:SOL3_D1785,I,SOL,178.241051,54.2719956921862,0.004947371780872345,5.0,0.1,True
LS1_CB10:SOL1_D1809,I,SOL,180.618024,55.8681222777816,-0.005636829882860184,5.0,0.1,True
LS1_CB10:SOL2_D1829,I,SOL,182.61575,46.8103002494044,0.006942730396986008,5.0,0.1,True
LS1_CB10:SOL3_D1849,I,SOL,184.613476,56.8672140745702,0.008317176252603531,5.0,0.1,True
LS1_CB11:SOL1_D1872,I,SOL,186.990448,50.1509347162261,0.001443084329366684,5.0,0.1,True
LS1_CB11:SOL2_D1892,I,SOL,188.988174,52.7406878288437,0.007493048906326294,5.0,0.1,True
LS1_CB11:SOL3_D1912,I,SOL,190.9859,61.8196754980488,0.007419753819704056,5.0,0.1,True
LS1_BTS:QH_D1942,I,QUAD,194.087949,59.8635298583611,0.001,100.0,0.1,True
LS1_BTS:QV_D1950,I,QUAD,194.837949,82.8201288183631,0.036,100.0,0.1,True
LS1_BTS:QH_D1969,I,QUAD,196.735949,80.8895424328773,0.0,100.0,0.1,True
LS1_BTS:QV_D1976,I,QUAD,197.485949,56.2024448837079,0.024,100.0,0.1,True
LS1_BTS:QH_D2002,I,QUAD,200.070949,104.02458114345,0.109,84.994550795497,0.1,True
LS1_BTS:QV_D2013,I,QUAD,201.207161,91.0448014941859,0.0,74.389263770189,0.1,True
LS1_BTS:QH_D2029,I,QUAD,202.777161,102.920307775911,0.081,84.092290793123,0.1,True
LS1_BTS:QV_D2042,I,QUAD,204.113373,114.605578635087,0.004,93.639883647448,0.1,True
LS1_BTS:QV_D2066,I,QUAD,206.432482,114.441988803326,0.124,103.17906936521,0.1,True
LS1_BTS:QH_D2073,I,QUAD,207.182482,81.4265844765423,0.022,75.647711821991,0.1,True
LS1_BTS:QV_D2118,I,QUAD,211.707551,60.7430085185957,0.041,100.0,0.1,True
LS1_BTS:QH_D2126,I,QUAD,212.457551,46.7356475783836,0.083,100.0,0.1,True
FS1_CSS:DH_D2163,I,BEND,216.170304,114.940070316782,-0.0032531842589378357,100.0,0.1,True
FS1_CSS:DH_D2169,I,BEND,216.720304,114.940070316782,-0.0032531842589378357,100.0,0.1,True
FS1_CSS:DH_D2174,I,BEND,217.27030399999998,114.940070316782,-0.0032531842589378357,100.0,0.1,True
FS1_CSS:DH_D2180,I,BEND,217.820304,114.940070316782,-0.0032531842589378357,100.0,0.1,True
FS1_CSS:QH_D2194,I,QUAD,219.295304,39.4642604409283,0.029,89.09372937857,0.1,True
FS1_CSS:QV_D2202,I,QUAD,220.083154,67.7751334792185,0.084,95.378261568783,0.1,True
FS1_CSS:QH_D2215,I,QUAD,221.333154,39.3811086484331,0.028,113.07484951106,0.1,True
FS1_CSS:QV_D2220,I,QUAD,221.833154,6.88885904849071e-07,0.026,100.0,0.1,True
FS1_CSS:QV_D2254,I,QUAD,225.233154,2.57595992267704,0.048,100.0,0.1,True
FS1_CSS:QH_D2260,I,QUAD,225.883154,21.9849611143732,0.0,100.0,0.1,True
FS1_CSS:QV_D2272,I,QUAD,227.083154,42.8184037994417,0.078,100.0,0.1,True
FS1_CSS:QH_D2280,I,QUAD,227.871004,29.2204975116479,0.033,100.0,0.1,True
FS1_CSS:QH_D2356,I,QUAD,235.448301,20.9416723979775,0.127,100.0,0.1,True
FS1_CSS:QH_D2362,I,QUAD,236.073301,41.0246978067123,0.068,100.0,0.1,True
FS1_CSS:QV_D2372,I,QUAD,237.073301,47.7742651493899,0.051,100.0,0.1,True
FS1_CSS:QH_D2377,I,QUAD,237.573301,25.3343274168819,0.094,100.0,0.1,True
FS1_BTS:DH_D2394,I,BEND,238.85817600000001,126.944160534943,0.0009996118023991585,102.8,0.1,True
FS1_BBS:QH_D2416,I,QUAD,241.458828,138.458457254092,0.048,117.51,0.1,True
FS1_BBS:S_D2419,I,SEXT,241.848828,1.61244098954956,0.0,1.0,0.1,True
FS1_BBS:QV_D2424,I,QUAD,242.308828,109.48905109489,0.025,100.0,0.1,True
FS1_BTS:Q_D2445,I,QUAD,244.402051,33.729656800742,0.049,100.0,0.1,True
FS1_BTS:Q_D2453,I,QUAD,245.16205100000002,24.5142857142857,0.039,107.88,0.1,True
